,modo_envio,numero_chamadas_cliente,avaliacao_cliente,custo_produto,compras_anteriores,prioridade_produto,genero,desconto,peso_gramas,entregue_no_prazo,corredor_armazem_A,corredor_armazem_B,corredor_armazem_C,corredor_armazem_D,corredor_armazem_F,performance_prioridade_envio_Atraso Crítico,performance_prioridade_envio_Atraso Problemático,performance_prioridade_envio_Atraso Tolerável,performance_prioridade_envio_Não Houve Atraso,performance_modo_envio_Atraso Crítico na Entrega Por Aviao,performance_modo_envio_Atraso Crítico na Entrega Por Caminhao,performance_modo_envio_Atraso Crítico na Entrega Por Navio,performance_modo_envio_Atraso Problemático na Entrega Por Aviao,performance_modo_envio_Atraso Problemático na Entrega Por Caminhao,performance_modo_envio_Atraso Problemático na Entrega Por Navio,performance_modo_envio_Atraso Tolerável na Entrega Por Aviao,performance_modo_envio_Atraso Tolerável na Entrega Por Caminhao,performance_modo_envio_Atraso Tolerável na Entrega Por Navio,performance_modo_envio_Não Houve Atraso,faixa_desconto_Desconto Abaixo da Media,faixa_desconto_Desconto Acima da Media,performance_faixa_desconto_Atraso na Entrega com Desconto Abaixo da Media,performance_faixa_desconto_Entrega no Prazo com Desconto Abaixo da Media,performance_faixa_desconto_Entrega no Prazo com Desconto Acima da Media
0,1,-0.057347773731440184,-0.7003755648020696,0.37850467289719625,-0.35970184795536136,1,0,2.0993529407853804,0.03389335281227174,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
1,1,-0.057347773731440184,1.4239040408372658,0.5607476635514018,-1.135605124767058,1,1,3.099935704586244,0.3048940832724616,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
2,1,-1.8037064456161827,-0.7003755648020696,0.40654205607476634,0.4162014288563354,1,1,2.3661750111322775,0.3466764061358656,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
3,1,-0.9305271096738114,0.007717637077708872,0.3738317757009346,0.4162014288563354,2,1,-0.16863465716324366,0.02571219868517166,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
4,1,-1.8037064456161827,-0.7003755648020696,0.4112149532710281,-0.35970184795536136,2,0,2.232763975958829,0.216654492330168,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
5,1,-0.9305271096738114,-1.408468766681848,0.30841121495327106,-0.35970184795536136,2,0,-0.035223621989795194,0.06077428780131483,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
6,1,-0.9305271096738114,0.7158108389574873,0.7196261682242991,-0.35970184795536136,1,0,-0.6355732802703133,0.20014609203798392,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
7,1,-0.057347773731440184,-1.408468766681848,0.6401869158878505,-1.135605124767058,1,0,2.3661750111322775,0.2634039444850256,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
8,1,-0.9305271096738114,0.7158108389574873,0.25233644859813087,-0.35970184795536136,1,0,-0.10192913957651943,0.12563915266617967,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
9,1,-0.9305271096738114,-0.7003755648020696,0.31775700934579443,-0.35970184795536136,2,0,1.0987701769845168,0.027173119065010964,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
